2026-02-27 06:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:40:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:41:10 [INFO]    🏆 PL | VLESS | Пинг: 3770ms | Скорость: 9.45 Mbps ⚡⚡
2026-02-27 06:41:10 [INFO]    🏆 LV | VLESS | Пинг: 3762ms | Скорость: 8.66 Mbps ⚡⚡
2026-02-27 06:41:10 [INFO]    🏆 ES | VLESS | Пинг: 3735ms | Скорость: 7.62 Mbps ⚡⚡
2026-02-27 06:41:10 [INFO]    🏆 LT | VLESS | Пинг: 3654ms | Скорость: 1.43 Mbps 
2026-02-27 06:41:10 [INFO]    🏆 LT | VLESS | Пинг: 3764ms | Скорость: 8.39 Mbps ⚡⚡
2026-02-27 06:41:11 [INFO]    🏆 FI | VLESS | Пинг: 3807ms | Скорость: 18.3 Mbps ⚡⚡
2026-02-27 06:41:11 [INFO]    🏆 JP | VLESS | Пинг: 3789ms | Скорость: 7.14 Mbps ⚡⚡
2026-02-27 06:41:14 [INFO]    🏆 IT | VLESS | Пинг: 3742ms | Скорость: 1.87 Mbps ⚡
2026-02-27 06:41:14 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-27 06:41:14 [INFO] 💾 Файл успешно сохранен: FL1PVPN
