2026-02-18 17:00:06 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY, ANY SNI, Target: 10)
2026-02-18 17:00:06 [INFO] 🌐 Загрузка источников (отбор только VLESS+Reality)...
2026-02-18 17:00:07 [INFO] 🔍 Найдено серверов VLESS+Reality: 1537
2026-02-18 17:00:07 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 17:00:58 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: one-piece.com | 362ms | Src: raw.githubusercontent.com
2026-02-18 17:00:59 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: bunny.net | 1476ms | Src: raw.githubusercontent.com
2026-02-18 17:00:59 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: azure.com | 211ms | Src: raw.githubusercontent.com
2026-02-18 17:01:00 [INFO]    [PING OK] FI | VLESS-REALITY | SNI: tradingview.com | 194ms | Src: raw.githubusercontent.com
2026-02-18 17:01:00 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: au1.scroogethebest.com | 227ms | Src: raw.githubusercontent.com
2026-02-18 17:01:01 [INFO]    [PING OK] FI | VLESS-REALITY | SNI: fin.1.babymelo.shop | 93ms | Src: raw.githubusercontent.com
2026-02-18 17:01:03 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 391ms | Src: raw.githubusercontent.com
2026-02-18 17:01:09 [INFO]    [PING OK] TR | VLESS-REALITY | SNI: www.amd.com | 4819ms | Src: raw.githubusercontent.com
2026-02-18 17:01:09 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 кандидатов...
2026-02-18 17:01:13 [INFO]    🏆 FI | VLESS-REALITY | Пинг: 194ms | Скор: 6.33 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 123ms | Скор: 5.88 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 143ms | Скор: 5.96 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 MD | VLESS-REALITY | Пинг: 158ms | Скор: 6.18 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 198ms | Скор: 6.3 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 RU | VLESS-REALITY | Пинг: 167ms | Скор: 5.78 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 FI | VLESS-REALITY | Пинг: 93ms | Скор: 5.8 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 AE | VLESS-REALITY | Пинг: 175ms | Скор: 5.95 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:13 [INFO]    🏆 FI | VLESS-REALITY | Пинг: 182ms | Скор: 5.97 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:17 [INFO]    🏆 NL | VLESS-REALITY | Пинг: 202ms | Скор: 6.51 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:17 [INFO]    🏆 FI | VLESS-REALITY | Пинг: 206ms | Скор: 6.27 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:17 [INFO]    🏆 PL | VLESS-REALITY | Пинг: 281ms | Скор: 6.9 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:17 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 211ms | Скор: 5.71 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:18 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 215ms | Скор: 5.32 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:18 [INFO]    🏆 EE | VLESS-REALITY | Пинг: 260ms | Скор: 4.75 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:18 [INFO]    🏆 NL | VLESS-REALITY | Пинг: 223ms | Скор: 4.74 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:18 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 312ms | Скор: 4.77 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:18 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 328ms | Скор: 4.84 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:19 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 320ms | Скор: 4.26 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:19 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 210ms | Скор: 3.89 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:19 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 227ms | Скор: 3.99 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:20 [INFO]    🏆 MD | VLESS-REALITY | Пинг: 205ms | Скор: 1.05 Mbps  | Src: raw.githubusercontent.com
2026-02-18 17:01:20 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 296ms | Скор: 2.21 Mbps ⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:20 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 335ms | Скор: 5.75 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:20 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 342ms | Скор: 7.82 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:20 [INFO]    🏆 NL | VLESS-REALITY | Пинг: 344ms | Скор: 7.76 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:20 [INFO]    🏆 UZ | VLESS-REALITY | Пинг: 402ms | Скор: 9.12 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:21 [INFO]    🏆 AT | VLESS-REALITY | Пинг: 362ms | Скор: 6.11 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:21 [INFO]    🏆 KZ | VLESS-REALITY | Пинг: 412ms | Скор: 7.79 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:21 [INFO]    🏆 DE | VLESS-REALITY | Пинг: 407ms | Скор: 7.71 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:21 [INFO]    🏆 TR | VLESS-REALITY | Пинг: 454ms | Скор: 8.05 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:21 [INFO]    🏆 TR | VLESS-REALITY | Пинг: 461ms | Скор: 10.41 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:22 [INFO]    🏆 LV | VLESS-REALITY | Пинг: 415ms | Скор: 6.31 Mbps ⚡⚡ | Src: raw.githubusercontent.com
2026-02-18 17:01:24 [INFO]    🏆 IQ | VLESS-REALITY | Пинг: 401ms | Скор: 1.33 Mbps  | Src: raw.githubusercontent.com
2026-02-18 17:01:24 [INFO] 🇷🇺 Добавлен лучший рабочий RU сервер: 87.242.103.184 со скоростью 5.88 Mbps | Src: raw.githubusercontent.com
2026-02-18 17:01:24 [INFO] 📊 Итого в подписке сохранено: 10 серверов
2026-02-18 17:01:24 [INFO] 💾 Файл успешно сохранен: FL1PVPN
