2026-02-27 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 07:00:54 [INFO]    [PING OK] US | VLESS | 2752ms
2026-02-27 07:00:54 [INFO]    [PING OK] LV | VLESS | 2019ms
2026-02-27 07:00:55 [INFO]    [PING OK] CA | VLESS | 4878ms
2026-02-27 07:00:55 [INFO]    [PING OK] SG | VLESS | 3150ms
2026-02-27 07:00:55 [INFO]    [PING OK] DE | VLESS | 2474ms
2026-02-27 07:00:55 [INFO]    [PING OK] SG | VLESS | 2315ms
2026-02-27 07:00:56 [INFO]    [PING OK] DE | VLESS | 2688ms
2026-02-27 07:00:59 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-27 07:01:03 [INFO]    🏆 PL | VLESS | Пинг: 3462ms | Скорость: 6.59 Mbps ⚡⚡
2026-02-27 07:01:03 [INFO]    🏆 DE | VLESS | Пинг: 3587ms | Скорость: 6.61 Mbps ⚡⚡
2026-02-27 07:01:04 [INFO]    🏆 DE | VLESS | Пинг: 2474ms | Скорость: 4.69 Mbps ⚡⚡
2026-02-27 07:01:05 [INFO]    🏆 DE | VLESS | Пинг: 2688ms | Скорость: 4.3 Mbps ⚡⚡
2026-02-27 07:01:05 [INFO]    🏆 SG | VLESS | Пинг: 3648ms | Скорость: 4.48 Mbps ⚡⚡
2026-02-27 07:01:06 [INFO]    🏆 LV | VLESS | Пинг: 2019ms | Скорость: 2.39 Mbps ⚡
2026-02-27 07:01:06 [INFO]    🏆 DE | VLESS | Пинг: 2226ms | Скорость: 1.73 Mbps ⚡
2026-02-27 07:01:06 [INFO]    🏆 US | VLESS | Пинг: 2752ms | Скорость: 1.48 Mbps 
2026-02-27 07:01:06 [INFO]    🏆 DE | VLESS | Пинг: 3636ms | Скорость: 2.75 Mbps ⚡
2026-02-27 07:01:06 [INFO]    🏆 SG | VLESS | Пинг: 3150ms | Скорость: 1.66 Mbps ⚡
2026-02-27 07:01:06 [INFO]    🏆 DE | VLESS | Пинг: 3667ms | Скорость: 8.25 Mbps ⚡⚡
2026-02-27 07:01:06 [INFO]    🏆 PL | VLESS | Пинг: 3679ms | Скорость: 8.18 Mbps ⚡⚡
2026-02-27 07:01:08 [INFO]    🏆 PL | VLESS | Пинг: 3683ms | Скорость: 6.75 Mbps ⚡⚡
2026-02-27 07:01:08 [INFO]    🏆 IT | VLESS | Пинг: 3785ms | Скорость: 7.74 Mbps ⚡⚡
2026-02-27 07:01:08 [INFO]    🏆 FI | VLESS | Пинг: 3799ms | Скорость: 7.79 Mbps ⚡⚡
