2026-02-21 13:30:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:30:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:30:14 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 13:30:14 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:32:38 [INFO]    [PING OK] BG | VLESS | 647ms
2026-02-21 13:32:40 [INFO]    [PING OK] GB | VLESS | 1078ms
2026-02-21 13:32:40 [INFO]    [PING OK] FR | VLESS | 465ms
2026-02-21 13:32:40 [INFO]    [PING OK] DE | VLESS | 3475ms
2026-02-21 13:32:42 [INFO]    [PING OK] US | VLESS | 449ms
2026-02-21 13:32:43 [INFO]    [PING OK] NL | VLESS | 2930ms
2026-02-21 13:32:46 [INFO]    [PING OK] US | VLESS | 681ms
2026-02-21 13:32:50 [INFO]    [PING OK] DE | VLESS | 241ms
2026-02-21 13:32:51 [INFO]    [PING OK] US | VLESS | 461ms
2026-02-21 13:32:52 [INFO]    [PING OK] US | VLESS | 637ms
2026-02-21 13:32:54 [INFO]    [PING OK] NL | VLESS | 739ms
2026-02-21 13:32:55 [INFO]    [PING OK] NL | VLESS | 247ms
2026-02-21 13:32:57 [INFO]    [PING OK] DE | VLESS | 273ms
2026-02-21 13:32:59 [INFO]    [PING OK] FR | VLESS | 407ms
2026-02-21 13:33:01 [INFO]    [PING OK] CY | VLESS | 1366ms
2026-02-21 13:33:04 [INFO]    [PING OK] BR | VLESS | 1867ms
2026-02-21 13:33:06 [INFO]    [PING OK] CA | VLESS | 441ms
2026-02-21 13:33:06 [INFO]    [PING OK] DE | VLESS | 158ms
2026-02-21 13:33:10 [INFO]    [PING OK] DE | VLESS | 173ms
2026-02-21 13:33:10 [INFO]    [PING OK] PL | VLESS | 743ms
2026-02-21 13:33:11 [INFO]    [PING OK] FR | VLESS | 737ms
2026-02-21 13:33:12 [INFO]    [PING OK] PL | VLESS | 794ms
2026-02-21 13:33:13 [INFO]    [PING OK] DE | VLESS | 2473ms
2026-02-21 13:33:16 [INFO]    [PING OK] RU | VLESS | 504ms
2026-02-21 13:33:19 [INFO]    [PING OK] DE | VLESS | 543ms
2026-02-21 13:33:22 [INFO]    [PING OK] IS | VLESS | 483ms
2026-02-21 13:33:24 [INFO]    [PING OK] CH | VLESS | 753ms
2026-02-21 13:33:35 [INFO]    [PING OK] US | VLESS | 3462ms
2026-02-21 13:33:41 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 кандидатов...
2026-02-21 13:33:45 [INFO]    🏆 DE | VLESS | Пинг: 112ms | Скорость: 6.97 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 DE | VLESS | Пинг: 102ms | Скорость: 6.76 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 AU | VLESS | Пинг: 118ms | Скорость: 7.04 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 DE | VLESS | Пинг: 115ms | Скорость: 6.86 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 DE | VLESS | Пинг: 107ms | Скорость: 6.74 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 RU | VLESS | Пинг: 144ms | Скорость: 6.52 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 SE | VLESS | Пинг: 109ms | Скорость: 6.76 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 FI | VLESS | Пинг: 118ms | Скорость: 7.19 Mbps ⚡⚡
2026-02-21 13:33:45 [INFO]    🏆 DE | VLESS | Пинг: 119ms | Скорость: 7.1 Mbps ⚡⚡
2026-02-21 13:33:46 [INFO]    🏆 RU | VLESS | Пинг: 113ms | Скорость: 5.9 Mbps ⚡⚡
2026-02-21 13:33:46 [INFO]    🏆 NO | VLESS | Пинг: 118ms | Скорость: 6.2 Mbps ⚡⚡
2026-02-21 13:33:47 [INFO]    🏆 RU | VLESS | Пинг: 114ms | Скорость: 4.44 Mbps ⚡⚡
2026-02-21 13:33:47 [INFO]    🏆 DE | VLESS | Пинг: 120ms | Скорость: 7.2 Mbps ⚡⚡
2026-02-21 13:33:47 [INFO]    🏆 FR | VMESS | Пинг: 124ms | Скорость: 13.95 Mbps ⚡⚡
2026-02-21 13:33:48 [INFO]    🏆 FI | VLESS | Пинг: 141ms | Скорость: 12.09 Mbps ⚡⚡
2026-02-21 13:33:48 [INFO]    🏆 SE | VLESS | Пинг: 102ms | Скорость: 0.76 Mbps 
2026-02-21 13:33:49 [INFO]    🏆 NL | VLESS | Пинг: 164ms | Скорость: 8.36 Mbps ⚡⚡
2026-02-21 13:33:49 [INFO]    🏆 DE | VLESS | Пинг: 176ms | Скорость: 8.55 Mbps ⚡⚡
2026-02-21 13:33:49 [INFO]    🏆 DE | VLESS | Пинг: 159ms | Скорость: 7.45 Mbps ⚡⚡
2026-02-21 13:33:49 [INFO]    🏆 GB | VLESS | Пинг: 178ms | Скорость: 8.08 Mbps ⚡⚡
2026-02-21 13:33:49 [INFO]    🏆 DE | VLESS | Пинг: 172ms | Скорость: 6.99 Mbps ⚡⚡
2026-02-21 13:33:49 [INFO]    🏆 FR | VLESS | Пинг: 180ms | Скорость: 11.96 Mbps ⚡⚡
2026-02-21 13:33:50 [INFO]    🏆 FR | VLESS | Пинг: 178ms | Скорость: 5.97 Mbps ⚡⚡
2026-02-21 13:33:50 [INFO]    🏆 MD | VLESS | Пинг: 188ms | Скорость: 10.09 Mbps ⚡⚡
2026-02-21 13:33:50 [INFO]    🏆 FR | VLESS | Пинг: 189ms | Скорость: 11.28 Mbps ⚡⚡
2026-02-21 13:33:50 [INFO]    🏆 GB | VLESS | Пинг: 182ms | Скорость: 8.83 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 DE | VLESS | Пинг: 158ms | Скорость: 4.19 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 FI | VLESS | Пинг: 211ms | Скорость: 11.69 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 NL | VLESS | Пинг: 207ms | Скорость: 10.38 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 NL | VLESS | Пинг: 211ms | Скорость: 11.92 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 DE | VLESS | Пинг: 214ms | Скорость: 12.26 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 DE | VLESS | Пинг: 215ms | Скорость: 13.73 Mbps ⚡⚡
2026-02-21 13:33:51 [INFO]    🏆 FR | VLESS | Пинг: 216ms | Скорость: 14.74 Mbps ⚡⚡
2026-02-21 13:33:52 [INFO]    🏆 FI | VLESS | Пинг: 159ms | Скорость: 0.77 Mbps 
2026-02-21 13:33:52 [INFO] 🇷🇺 Добавлен лучший рабочий RU сервер: 95.163.210.225 со скоростью 5.9 Mbps
2026-02-21 13:33:52 [INFO] 📊 Итого в подписке сохранено: 10 серверов
2026-02-21 13:33:52 [INFO] 💾 Файл успешно сохранен: FL1PVPN
