2026-02-21 13:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:00:15 [INFO] 🔍 Уникальных конфигов собрано: 3599
2026-02-21 13:00:15 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:03:57 [INFO]    🏆 AU | VLESS | Пинг: 113ms | Скорость: 7.48 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 DE | VLESS | Пинг: 117ms | Скорость: 7.73 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 DE | VLESS | Пинг: 119ms | Скорость: 7.78 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 DE | VLESS | Пинг: 106ms | Скорость: 7.21 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 DE | VLESS | Пинг: 110ms | Скорость: 7.27 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 DE | VLESS | Пинг: 121ms | Скорость: 8.1 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 RU | VLESS | Пинг: 92ms | Скорость: 6.34 Mbps ⚡⚡
2026-02-21 13:03:59 [INFO]    🏆 RU | VLESS | Пинг: 89ms | Скорость: 4.15 Mbps ⚡⚡
2026-02-21 13:03:59 [INFO]    🏆 DE | VLESS | Пинг: 122ms | Скорость: 10.77 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 125ms | Скорость: 7.93 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 141ms | Скорость: 7.79 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 130ms | Скорость: 7.62 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 161ms | Скорость: 7.75 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 144ms | Скорость: 7.57 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 159ms | Скорость: 7.41 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 FR | VMESS | Пинг: 156ms | Скорость: 7.42 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 161ms | Скорость: 7.98 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 DE | VLESS | Пинг: 163ms | Скорость: 7.62 Mbps ⚡⚡
2026-02-21 13:04:00 [INFO]    🏆 MD | VLESS | Пинг: 168ms | Скорость: 8.84 Mbps ⚡⚡
2026-02-21 13:04:01 [INFO]    🏆 NO | VLESS | Пинг: 168ms | Скорость: 9.16 Mbps ⚡⚡
2026-02-21 13:04:02 [INFO]    🏆 FR | VLESS | Пинг: 180ms | Скорость: 14.06 Mbps ⚡⚡
2026-02-21 13:04:02 [INFO]    🏆 FI | VLESS | Пинг: 188ms | Скорость: 14.49 Mbps ⚡⚡
2026-02-21 13:04:02 [INFO]    🏆 NL | VLESS | Пинг: 191ms | Скорость: 13.09 Mbps ⚡⚡
2026-02-21 13:04:02 [INFO]    🏆 FI | VLESS | Пинг: 199ms | Скорость: 12.41 Mbps ⚡⚡
2026-02-21 13:04:04 [INFO]    🏆 FR | VLESS | Пинг: 184ms | Скорость: 6.89 Mbps ⚡⚡
2026-02-21 13:04:04 [INFO]    🏆 FR | VLESS | Пинг: 188ms | Скорость: 6.93 Mbps ⚡⚡
2026-02-21 13:04:04 [INFO]    🏆 GB | VLESS | Пинг: 195ms | Скорость: 6.7 Mbps ⚡⚡
2026-02-21 13:04:06 [INFO]    🏆 DE | VLESS | Пинг: 179ms | Скорость: 3.56 Mbps ⚡⚡
2026-02-21 13:04:07 [INFO]    🏆 IQ | VLESS | Пинг: 186ms | Скорость: 1.84 Mbps ⚡
2026-02-21 13:04:07 [INFO] 🇷🇺 Добавлен лучший рабочий RU сервер: 87.242.103.184 со скоростью 7.03 Mbps
2026-02-21 13:04:07 [INFO] 📊 Итого в подписке сохранено: 10 серверов
2026-02-21 13:04:07 [INFO] 💾 Файл успешно сохранен: FL1PVPN
